beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,118,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,80,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,80,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,93,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,80,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,80,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,131,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,80,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,192,Hopworks Urban Brewery,Portland,OR
Nonstop Hef Hop,American Pale Wheat Ale,16.0,0.039,20,127,Hopworks Urban Brewery,Portland,OR
Rise Up Red,American Amber / Red Ale,16.0,0.058,60,166,Hopworks Urban Brewery,Portland,OR
Survival Stout,American Stout,16.0,0.058,35,510,Hopworks Urban Brewery,Portland,OR
Hopworks IPA,American IPA,16.0,0.066,75,80,Hopworks Urban Brewery,Portland,OR
Abominable Winter Ale,American Strong Ale,16.0,0.073,70,17,Hopworks Urban Brewery,Portland,OR
Pigwar White India Pale Ale,American White IPA,16.0,0.06,60,192,Hopworks Urban Brewery,Portland,OR
Rise-Up Red (2014),American Amber / Red Ale,16.0,0.058,60,80,Hopworks Urban Brewery,Portland,OR
Abominable Winter Ale (2012),American Strong Ale,16.0,0.073,70,80,Hopworks Urban Brewery,Portland,OR
HUB Lager,Czech Pilsener,16.0,0.051,32,80,Hopworks Urban Brewery,Portland,OR
Hopworks IPA (2012),American IPA,16.0,0.066,75,80,Hopworks Urban Brewery,Portland,OR
Slow Ride,American IPA,12.0,0.045,40,166,New Belgium Brewing Company,Fort Collins,CO
Ranger IPA,American IPA,12.0,0.065,70,264,New Belgium Brewing Company,Fort Collins,CO
Shift,American Pale Lager,12.0,0.05,29,82,New Belgium Brewing Company,Fort Collins,CO
1554 Black Lager,Euro Dark Lager,12.0,0.056,21,80,New Belgium Brewing Company,Fort Collins,CO
Fat Tire Amber Ale,American Amber / Red Ale,12.0,0.052,18,82,New Belgium Brewing Company,Fort Collins,CO
Shift (1),American Pale Lager,12.0,0.05,29,2,New Belgium Brewing Company,Fort Collins,CO
Fat Tire Amber Ale (2011),American Amber / Red Ale,12.0,0.052,18,82,New Belgium Brewing Company,Fort Collins,CO
Shift,American Pale Lager,16.0,0.05,29,82,New Belgium Brewing Company,Fort Collins,CO
Ranger IPA,American IPA,16.0,0.065,70,82,New Belgium Brewing Company,Fort Collins,CO
Fat Tire Amber Ale,American Amber / Red Ale,16.0,0.052,18,82,New Belgium Brewing Company,Fort Collins,CO
Ranger IPA (Current),American IPA,12.0,0.065,70,82,New Belgium Brewing Company,Fort Collins,CO
Fat Tire Amber Ale (2008),American Amber / Red Ale,12.0,0.052,18,300,New Belgium Brewing Company,Fort Collins,CO
Torpedo,American IPA,12.0,0.072,65,83,Sierra Nevada Brewing Company,Chico,CA
Sierra Nevada Pale Ale,American Pale Ale (APA),16.0,0.056,37,128,Sierra Nevada Brewing Company,Chico,CA
Old Chico Crystal Wheat,American Pale Wheat Ale,12.0,0.048,26,83,Sierra Nevada Brewing Company,Chico,CA
Summerfest,Czech Pilsener,12.0,0.05,28,83,Sierra Nevada Brewing Company,Chico,CA
Torpedo,American IPA,16.0,0.072,65,496,Sierra Nevada Brewing Company,Chico,CA
Sierra Nevada Pale Ale,American Pale Ale (APA),12.0,0.056,37,83,Sierra Nevada Brewing Company,Chico,CA
Captain's Daughter,American Double / Imperial IPA,12.0,0.085,69,86,Grey Sail Brewing Company,Westerly,RI
India Pale Ale,American IPA,16.0,0.063,65,116,Kirkwood Station Brewing Company,Kirkwood,MO
Blackberry Wheat,American Pale Wheat Ale,16.0,0.048,11,87,Kirkwood Station Brewing Company,Kirkwood,MO
312 Urban Pale Ale,American Pale Ale (APA),16.0,0.054,30,88,Goose Island Brewing Company,Chicago,IL
312 Urban Pale Ale,American Pale Ale (APA),12.0,0.054,30,88,Goose Island Brewing Company,Chicago,IL
312 Urban Wheat Ale,American Pale Wheat Ale,16.0,0.042,18,88,Goose Island Brewing Company,Chicago,IL
312 Urban Wheat Ale,American Pale Wheat Ale,12.0,0.042,18,298,Goose Island Brewing Company,Chicago,IL
312 Urban Wheat Ale (2012),American Pale Wheat Ale,12.0,0.042,20,88,Goose Island Brewing Company,Chicago,IL
Sol Drifter,American Blonde Ale,12.0,0.043,18,91,Madtree Brewing Company,Cincinnati,OH
The Great Pumpcan,Fruit / Vegetable Beer,16.0,0.079,18,91,Madtree Brewing Company,Cincinnati,OH
SPRYE,American Pale Ale (APA),12.0,0.05,40,91,Madtree Brewing Company,Cincinnati,OH
Psychopathy,American IPA,12.0,0.069,70,91,Madtree Brewing Company,Cincinnati,OH
Gnarly Brown,American Brown Ale,12.0,0.07,32,91,Madtree Brewing Company,Cincinnati,OH
Happy Amber,American Amber / Red Ale,12.0,0.06,30,444,Madtree Brewing Company,Cincinnati,OH
Hustle,American Amber / Red Ale,12.0,0.057,42,93,Rhinegeist Brewery,Cincinnati,OH
Pure Fury,American Pale Ale (APA),12.0,0.055,42,93,Rhinegeist Brewery,Cincinnati,OH
Dad,American Amber / Red Ale,12.0,0.06,60,93,Rhinegeist Brewery,Cincinnati,OH
Panther,American Porter,12.0,0.058,35,233,Rhinegeist Brewery,Cincinnati,OH
Zen,American Pale Ale (APA),12.0,0.043,45,93,Rhinegeist Brewery,Cincinnati,OH
Truth,American IPA,12.0,0.072,75,93,Rhinegeist Brewery,Cincinnati,OH
Cougar,American Blonde Ale,12.0,0.048,25,374,Rhinegeist Brewery,Cincinnati,OH
Self Starter,American IPA,16.0,0.052,67,447,Warped Wing Brewing Company,Dayton,OH
Ermal's,Cream Ale,16.0,0.054,20,94,Warped Wing Brewing Company,Dayton,OH
Nugget Nectar,American Amber / Red Ale,16.0,0.075,93,97,Tr鏋歟gs Brewing Company,Hershey,PA
Sunshine Pils,American Pilsner,12.0,0.045,45,97,Tr鏋歟gs Brewing Company,Hershey,PA
Troegenator Doublebock,Doppelbock,16.0,0.082,25,125,Tr鏋歟gs Brewing Company,Hershey,PA
Perpetual IPA,American IPA,12.0,0.075,85,97,Tr鏋歟gs Brewing Company,Hershey,PA
Mission IPA,American IPA,32.0,0.068,66,234,Mission Brewery,San Diego,CA
El Conquistador Extra Pale Ale,American Pale Ale (APA),32.0,0.048,44,98,Mission Brewery,San Diego,CA
Shipwrecked Double IPA,American Double / Imperial IPA,32.0,0.092,75,98,Mission Brewery,San Diego,CA
Bay of Bengal Double IPA (2014),American Double / Imperial IPA,12.0,0.089,126,99,Christian Moerlein Brewing Company,Cincinnati,OH
Newport Storm IPA,American IPA,12.0,0.065,75,101,Coastal Extreme Brewing Company,Newport,RI
Hurricane Amber Ale (2004),American Amber / Red Ale,12.0,0.052,24,223,Coastal Extreme Brewing Company,Newport,RI
Hurricane Amber Ale,American Amber / Red Ale,12.0,0.052,24,101,Coastal Extreme Brewing Company,Newport,RI
King Street IPA,American IPA,12.0,0.06,70,102,King Street Brewing Company,Anchorage,AK
King Street Hefeweizen,Hefeweizen,12.0,0.057,10,181,King Street Brewing Company,Anchorage,AK
Watermelon Ale,Fruit / Vegetable Beer,12.0,0.05,10,215,Beer Works Brewery,Lowell,MA
Fenway American Pale Ale,American Pale Ale (APA),12.0,0.058,45,103,Beer Works Brewery,Lowell,MA
Back Bay IPA,American IPA,12.0,0.068,85,103,Beer Works Brewery,Lowell,MA
Bunker Hill Blueberry Ale,Other,12.0,0.048,16,103,Beer Works Brewery,Lowell,MA
Peach Pale Ale,American Pale Ale (APA),12.0,0.057,40,104,Lone Tree Brewing Company,Lone Tree,CO
Suncaster Summer Wheat,American Pale Wheat Ale,12.0,0.05,28,105,Four String Brewing Company,Columbus,OH
Brass Knuckle Pale Ale,American Pale Ale (APA),12.0,0.057,36,105,Four String Brewing Company,Columbus,OH
Big Star White IPA,American White IPA,12.0,0.07,70,184,Four String Brewing Company,Columbus,OH
Clean Shave IPA,American IPA,12.0,0.067,70,106,Glabrous Brewing Company,Pineland,ME
Firestarter India Pale Ale,American IPA,12.0,0.066,72,171,Bonfire Brewing Company,Eagle,CO
Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,16.0,0.075,22,107,Bonfire Brewing Company,Eagle,CO
Wood Splitter Pilsner,Czech Pilsener,16.0,0.048,30,107,Bonfire Brewing Company,Eagle,CO
Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),16.0,0.07,94,107,Bonfire Brewing Company,Eagle,CO
Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),12.0,0.048,38,294,Bonfire Brewing Company,Eagle,CO
Kindler Pale Ale,American Pale Ale (APA),12.0,0.053,45,107,Bonfire Brewing Company,Eagle,CO
Firestarter India Pale Ale,American IPA,16.0,0.066,72,107,Bonfire Brewing Company,Eagle,CO
Watermelon Ale,Fruit / Vegetable Beer,12.0,0.051,11,108,Thomas Hooker Brewing Company,Bloomfield,CT
4000 Footer IPA,American IPA,12.0,0.065,82,380,"Woodstock Inn, Station & Brewery",North Woodstock,NH
Summer Brew,American Pilsner,12.0,0.028,15,109,"Woodstock Inn, Station & Brewery",North Woodstock,NH
Consilium,American Pale Ale (APA),12.0,0.05,40,110,Renegade Brewing Company,Denver,CO
Hammer & Sickle,Russian Imperial Stout,12.0,0.09,60,447,Renegade Brewing Company,Denver,CO
Redacted Rye IPA,American IPA,16.0,0.07,100,110,Renegade Brewing Company,Denver,CO
Elevation Triple India Pale Ale,American Double / Imperial IPA,12.0,0.099,100,152,Renegade Brewing Company,Denver,CO
5:00 O'Clock Afternoon Ale,American Blonde Ale,16.0,0.05,25,110,Renegade Brewing Company,Denver,CO
Ryeteous Rye IPA (2012),American IPA,16.0,0.07,100,110,Renegade Brewing Company,Denver,CO
Cali Creamin',Cream Ale,12.0,0.052,21,111,Mother Earth Brew Company,Vista,CA
Deception,American Blonde Ale,12.0,0.045,16,112,Black Market Brewing Company,Temecula,CA
Blackmarket Rye IPA,American IPA,12.0,0.075,35,112,Black Market Brewing Company,Temecula,CA
Black Market Hefeweizen,Hefeweizen,12.0,0.05,8,112,Black Market Brewing Company,Temecula,CA
Aftermath Pale Ale,American Pale Ale (APA),12.0,0.058,44,428,Black Market Brewing Company,Temecula,CA
Rule G IPA,American IPA,12.0,0.07,88,115,Smartmouth Brewing Company,Norfolk,VA
Murphy's Law,American Amber / Red Ale,12.0,0.058,35,165,Smartmouth Brewing Company,Norfolk,VA
Alter Ego,Saison / Farmhouse Ale,12.0,0.062,33,115,Smartmouth Brewing Company,Norfolk,VA
Ultra Gnar Gnar IPA,American IPA,12.0,0.067,60,116,Base Camp Brewing Co.,Portland,OR
In-Tents India Pale Lager,American Pale Lager,12.0,0.068,62,116,Base Camp Brewing Co.,Portland,OR
Lost Meridian Wit,Witbier,12.0,0.05,20,116,Base Camp Brewing Co.,Portland,OR
Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12.0,0.051,45,88,Base Camp Brewing Co.,Portland,OR
P-Town Pilsner,American Pilsner,12.0,0.04,20,93,Alameda Brewing,Portland,OR
Klickitat Pale Ale,American Pale Ale (APA),12.0,0.053,36,117,Alameda Brewing,Portland,OR
Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0,0.082,103,117,Alameda Brewing,Portland,OR
Pine Belt Pale Ale,American Pale Ale (APA),12.0,0.065,45,457,Southern Star Brewing Company,Conroe,TX
Red Cockaded Ale,American Double / Imperial IPA,12.0,0.085,110,118,Southern Star Brewing Company,Conroe,TX
Valkyrie Double IPA,American Double / Imperial IPA,12.0,0.092,100,118,Southern Star Brewing Company,Conroe,TX
Red Cockaded Ale (2013),American Double / Imperial IPA,12.0,0.085,110,118,Southern Star Brewing Company,Conroe,TX
Old Potentate,Old Ale,12.0,0.072,40,118,Southern Star Brewing Company,Conroe,TX
Bombshell Blonde,American Blonde Ale,16.0,0.05,20,25,Southern Star Brewing Company,Conroe,TX
PRO-AM (2012) (2012),American Double / Imperial IPA,12.0,0.099,100,118,Southern Star Brewing Company,Conroe,TX
Buried Hatchet Stout,Foreign / Export Stout,12.0,0.083,50,118,Southern Star Brewing Company,Conroe,TX
Pine Belt Pale Ale,American Pale Ale (APA),16.0,0.065,45,166,Southern Star Brewing Company,Conroe,TX
Bombshell Blonde,American Blonde Ale,12.0,0.05,20,336,Southern Star Brewing Company,Conroe,TX
Third Eye Enlightened Pale Ale,American Pale Ale (APA),12.0,0.065,65,119,Steamworks Brewing Company,Durango,CO
Steam Engine Lager,American Amber / Red Lager,12.0,0.057,25,119,Steamworks Brewing Company,Durango,CO
Third Eye Pale Ale,American IPA,12.0,0.065,65,234,Steamworks Brewing Company,Durango,CO
Laka Laka Pineapple,Hefeweizen,12.0,0.051,17,120,Horny Goat Brew Pub,Milwaukee,WI
IPA #11,American IPA,16.0,0.057,58,72,Cheboygan Brewing Company,Cheboygan,MI
Blood Orange Honey,Fruit / Vegetable Beer,16.0,0.057,10,121,Cheboygan Brewing Company,Cheboygan,MI
Main St. Virginia Ale,Altbier,12.0,0.05,40,233,Center of the Universe Brewing C...,Ashland,VA
Chin Music Amber Lager,American Amber / Red Lager,12.0,0.045,24,122,Center of the Universe Brewing C...,Ashland,VA
Main St. Virginia Ale,Altbier,12.0,0.05,40,122,Center of the Universe Brewing C...,Ashland,VA
Mr. Blue Sky,American Pale Wheat Ale,16.0,0.045,6,74,Griffin Claw Brewing Company,Birmingham,MI
Grand Trunk Bohemian Pils,Czech Pilsener,16.0,0.05,35,124,Griffin Claw Brewing Company,Birmingham,MI
El Rojo,American Amber / Red Ale,16.0,0.065,25,124,Griffin Claw Brewing Company,Birmingham,MI
Grind Line,American Pale Ale (APA),16.0,0.05,35,457,Griffin Claw Brewing Company,Birmingham,MI
Norm's Gateway IPA,American IPA,12.0,0.04,55,124,Griffin Claw Brewing Company,Birmingham,MI
Weisse Versa (2012),Hefeweizen,12.0,0.052,16,181,Karbach Brewing Company,Houston,TX
Mother in Lager,Munich Dunkel Lager,12.0,0.058,25,125,Karbach Brewing Company,Houston,TX
Weekend Warrior Pale Ale,American Pale Ale (APA),12.0,0.055,40,125,Karbach Brewing Company,Houston,TX
Barn Burner Saison,Saison / Farmhouse Ale,12.0,0.066,20,125,Karbach Brewing Company,Houston,TX
Rodeo Clown Double IPA,American Double / Imperial IPA,12.0,0.095,85,361,Karbach Brewing Company,Houston,TX
Sympathy for the Lager,American Amber / Red Lager,12.0,0.049,45,125,Karbach Brewing Company,Houston,TX
Weisse Versa,Hefeweizen,12.0,0.052,15,125,Karbach Brewing Company,Houston,TX
Hopadillo India Pale Ale,American IPA,12.0,0.066,70,57,Karbach Brewing Company,Houston,TX
The Green Room,American IPA,16.0,0.06,75,126,Uncle Billy's Brewery and Smokeh...,Austin,TX
Humbucker Helles,Maibock / Helles Bock,16.0,0.047,25,165,Uncle Billy's Brewery and Smokeh...,Austin,TX
Oak Cliff Coffee Ale,American Brown Ale,12.0,0.075,33,127,Deep Ellum Brewing Company,Dallas,TX
Dream Crusher Double IPA,American Double / Imperial IPA,12.0,0.085,100,127,Deep Ellum Brewing Company,Dallas,TX
Farmhouse Wit,Saison / Farmhouse Ale,16.0,0.048,25,74,Deep Ellum Brewing Company,Dallas,TX
Dallas Blonde,American Blonde Ale,12.0,0.052,23,127,Deep Ellum Brewing Company,Dallas,TX
Deep Ellum IPA,American IPA,12.0,0.07,70,127,Deep Ellum Brewing Company,Dallas,TX
18th Anniversary Gose,Gose,12.0,0.044,5,128,Real Ale Brewing Company,Blanco,TX
White (2015),Witbier,12.0,0.046,25,397,Real Ale Brewing Company,Blanco,TX
BLAKKR,American Black Ale,12.0,0.099,85,128,Real Ale Brewing Company,Blanco,TX
Firemans #4 Blonde Ale (2013),American Blonde Ale,12.0,0.051,21,128,Real Ale Brewing Company,Blanco,TX
Hans' Pils (2015),German Pilsener,12.0,0.053,52,128,Real Ale Brewing Company,Blanco,TX
Four Squared (2015),American Blonde Ale,12.0,0.06,50,277,Real Ale Brewing Company,Blanco,TX
Firemans #4 Blonde Ale (2015),American Blonde Ale,12.0,0.051,21,128,Real Ale Brewing Company,Blanco,TX
American Lager,American Adjunct Lager,12.0,0.041,8,182,Straub Brewery,St Mary's,PA
American Amber,American Amber / Red Lager,12.0,0.041,8,129,Straub Brewery,St Mary's,PA
American Light,Light Lager,12.0,0.032,13,129,Straub Brewery,St Mary's,PA
Point Special (Current),American Adjunct Lager,12.0,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
Point Special,American Adjunct Lager,12.0,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
Point Cascade Pale Ale (2013),American Pale Ale (APA),12.0,0.054,33,131,Stevens Point Brewery,Stevens Point,WI
Point Special,American Adjunct Lager,12.0,0.047,9,449,Stevens Point Brewery,Stevens Point,WI
Onyx Black Ale,American Black Ale,12.0,0.052,9,131,Stevens Point Brewery,Stevens Point,WI
Beyond The Pale IPA,American IPA,12.0,0.063,64,131,Stevens Point Brewery,Stevens Point,WI
Point Special (2013),American Adjunct Lager,12.0,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
Point Special (2012),American Adjunct Lager,12.0,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
Point Special Lager,American Adjunct Lager,16.0,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
Point Nude Beach Summer Wheat,American Pale Wheat Ale,16.0,0.052,7,131,Stevens Point Brewery,Stevens Point,WI
Point Nude Beach Summer Wheat,American Pale Wheat Ale,12.0,0.05,7,131,Stevens Point Brewery,Stevens Point,WI
Point Nude Beach Summer Wheat (2011),American Pale Wheat Ale,12.0,0.05,7,131,Stevens Point Brewery,Stevens Point,WI
2012 Black Ale,American Brown Ale,12.0,0.054,32,131,Stevens Point Brewery,Stevens Point,WI
Point Nude Beach Summer Wheat (2010),American Pale Wheat Ale,12.0,0.05,7,131,Stevens Point Brewery,Stevens Point,WI
Point Cascade Pale Ale,American Pale Ale (APA),12.0,0.054,33,131,Stevens Point Brewery,Stevens Point,WI
Point Amber Classic,American Amber / Red Lager,12.0,0.047,14,131,Stevens Point Brewery,Stevens Point,WI
Point Special Lager,American Adjunct Lager,12.0,0.047,9,131,Stevens Point Brewery,Stevens Point,WI
L'il Lucy's Hot Pepper Ale,Chile Beer,12.0,0.049,28,132,Weston Brewing Company,Weston,MO
2014 IPA Cicada Series,American IPA,16.0,0.075,72,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Sinister Minister Black IPA,American IPA,16.0,0.077,65,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Jack the Sipper,Extra Special / Strong Bitter (ESB),12.0,0.053,45,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Devil's Harvest Extra Pale Ale,American Pale Ale (APA),12.0,0.058,60,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Suzy B Dirty Blonde Ale,American Blonde Ale,12.0,0.05,20,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Mississippi Fire Ant,American Amber / Red Ale,16.0,0.08,80,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Hipster Breakfast,Oatmeal Stout,16.0,0.058,40,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Suzy B Dirty Blonde Ale,American Blonde Ale,16.0,0.05,20,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Devil's Harvest Extra Pale Ale,American Pale Ale (APA),16.0,0.058,60,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
Morning Wood Wheat (Current),American Pale Wheat Ale,12.0,0.059,14,135,Pug Ryan's Brewery,Dillon,CO
Hideout Helles,Munich Helles Lager,12.0,0.069,17,135,Pug Ryan's Brewery,Dillon,CO
Dead Eye Dunkel,Munich Dunkel Lager,12.0,0.06,15,135,Pug Ryan's Brewery,Dillon,CO
Peacemaker Pilsner,Czech Pilsener,12.0,0.058,21,135,Pug Ryan's Brewery,Dillon,CO
Over the Rail Pale Ale,American Pale Ale (APA),12.0,0.057,68,135,Pug Ryan's Brewery,Dillon,CO
Pallavicini Pilsner (2009),Czech Pilsener,12.0,0.058,21,135,Pug Ryan's Brewery,Dillon,CO
Morning Wood Wheat (Current),American Pale Wheat Ale,12.0,0.059,14,135,Pug Ryan's Brewery,Dillon,CO
Extra Pale Ale,American Pale Ale (APA),12.0,0.053,49,138,Summit Brewing Company,St Paul,MN
Oklahoma Suks,American Amber / Red Ale,12.0,0.048,32,140,Independence Brewing Company,Austin,TX
Power & Light,American Pale Ale (APA),12.0,0.055,42,140,Independence Brewing Company,Austin,TX
White Rabbit,Witbier,12.0,0.059,27,140,Independence Brewing Company,Austin,TX
Cubano Espresso,Bock,12.0,0.055,25,141,Cigar City Brewing Company,Tampa,FL
Operation Homefront,American IPA,12.0,0.062,65,141,Cigar City Brewing Company,Tampa,FL
Wandering Pelican,American Black Ale,12.0,0.082,65,141,Cigar City Brewing Company,Tampa,FL
Hopped on the High Seas (Hop #529),American IPA,12.0,0.07,60,141,Cigar City Brewing Company,Tampa,FL
Hopped on the High Seas (Calypso),American IPA,12.0,0.07,60,141,Cigar City Brewing Company,Tampa,FL
Dry-Hopped On The High Seas Caribbean-Style IPA,American IPA,12.0,0.07,60,141,Cigar City Brewing Company,Tampa,FL
Hopped on the High Seas (Citra),American IPA,12.0,0.07,60,141,Cigar City Brewing Company,Tampa,FL
Hopped on the High Seas (Ahtanum),American IPA,12.0,0.07,60,141,Cigar City Brewing Company,Tampa,FL
Humidor Series India Pale Ale,American IPA,12.0,0.075,70,141,Cigar City Brewing Company,Tampa,FL
Jai Alai IPA Aged on White Oak,American IPA,12.0,0.075,70,141,Cigar City Brewing Company,Tampa,FL
Maduro Brown Ale,English Brown Ale,12.0,0.055,25,141,Cigar City Brewing Company,Tampa,FL
Maduro Brown Ale,American Brown Ale,12.0,0.055,25,141,Cigar City Brewing Company,Tampa,FL
Tocobaga Red Ale,American Amber / Red Ale,12.0,0.072,75,141,Cigar City Brewing Company,Tampa,FL
Jai Alai IPA,American IPA,12.0,0.075,70,141,Cigar City Brewing Company,Tampa,FL
Florida Cracker Belgian Wit,Witbier,12.0,0.05,18,141,Cigar City Brewing Company,Tampa,FL
Hunny Do Wheat,American Pale Wheat Ale,12.0,0.048,18,142,Third Street Brewhouse,Cold Spring,MN
Gansett Light,Light Lager,16.0,0.037,10,143,Narragansett Brewing Company,Providence,RI
Bohemian Pils,American Pilsner,16.0,0.052,30,143,Narragansett Brewing Company,Providence,RI
Autocrat Coffee Milk Stout,Milk / Sweet Stout,16.0,0.053,30,143,Narragansett Brewing Company,Providence,RI
Narragansett Bohemian Pilsner,German Pilsener,16.0,0.086,35,143,Narragansett Brewing Company,Providence,RI
Narragansett Summer Ale,American Pale Wheat Ale,12.0,0.042,24,143,Narragansett Brewing Company,Providence,RI
Narragansett Cream Ale,Cream Ale,16.0,0.05,22,143,Narragansett Brewing Company,Providence,RI
Narragansett Summer Ale,American Pale Wheat Ale,16.0,0.042,24,143,Narragansett Brewing Company,Providence,RI
Narragansett Porter,American Porter,16.0,0.07,22,143,Narragansett Brewing Company,Providence,RI
Narragansett Bock,Bock,16.0,0.065,32,143,Narragansett Brewing Company,Providence,RI
Little Red Cap,Altbier,12.0,0.063,43,144,Grimm Brothers Brewhouse,Loveland,CO
Perpetual Darkness,Belgian Strong Dark Ale,12.0,0.092,72,148,Odyssey Beerwerks,Arvada,CO
Clan Warrior,Scotch Ale / Wee Heavy,12.0,0.087,29,148,Odyssey Beerwerks,Arvada,CO
Psycho Penguin Vanilla Porter,American Porter,12.0,0.054,36,148,Odyssey Beerwerks,Arvada,CO
Peacemaker Pale Ale,American Pale Ale (APA),12.0,0.057,47,149,Lonerider Brewing Company,Raleigh,NC
Shotgun Betty,Hefeweizen,12.0,0.058,11,149,Lonerider Brewing Company,Raleigh,NC
Sweet Josie,American Brown Ale,12.0,0.061,30,149,Lonerider Brewing Company,Raleigh,NC
Watershed IPA,American IPA,12.0,0.067,70,150,Oakshire Brewing,Eugene,OR
Oakshire Amber Ale,American Amber / Red Ale,12.0,0.054,24,150,Oakshire Brewing,Eugene,OR
Overcast Espresso Stout,American Stout,12.0,0.058,27,150,Oakshire Brewing,Eugene,OR
Watershed IPA (2013),American IPA,12.0,0.067,70,150,Oakshire Brewing,Eugene,OR
Juke Joint IPA,American IPA,12.0,0.07,60,152,Tin Roof Brewing Company,Baton Rouge,LA
Parade Ground Coffee Porter,American Porter,12.0,0.07,35,152,Tin Roof Brewing Company,Baton Rouge,LA
Tin Roof Watermelon Wheat,Fruit / Vegetable Beer,12.0,0.05,21,152,Tin Roof Brewing Company,Baton Rouge,LA
Tin Roof Blonde Ale,American Blonde Ale,12.0,0.045,18,152,Tin Roof Brewing Company,Baton Rouge,LA
Voodoo Bengal Pale Ale,American Pale Ale (APA),12.0,0.055,37,152,Tin Roof Brewing Company,Baton Rouge,LA
Perfect Tin Amber,American Amber / Red Ale,12.0,0.045,28,152,Tin Roof Brewing Company,Baton Rouge,LA
Knotty Blonde Ale,American Blonde Ale,12.0,0.04,18,153,Three Creeks Brewing,Sisters,OR
Fivepine Chocolate Porter,American Porter,12.0,0.062,40,153,Three Creeks Brewing,Sisters,OR
Hoodoo Voodoo IPA,American IPA,12.0,0.062,82,153,Three Creeks Brewing,Sisters,OR
Hopportunity Knocks IPA,American IPA,12.0,0.068,100,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale,American Pale Ale (APA),12.0,0.056,55,155,Caldera Brewing Company,Ashland,OR
Lawnmower Lager,American Adjunct Lager,12.0,0.039,16,155,Caldera Brewing Company,Ashland,OR
Ashland Amber Ale (2009),American Amber / Red Ale,12.0,0.054,24,155,Caldera Brewing Company,Ashland,OR
Caldera IPA (2009),American IPA,12.0,0.061,94,155,Caldera Brewing Company,Ashland,OR
Caldera IPA (2007),American IPA,12.0,0.061,94,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2010),American Pale Ale (APA),12.0,0.056,55,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2009),American Pale Ale (APA),12.0,0.056,55,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2005),American Pale Ale (APA),12.0,0.056,55,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2007),American Pale Ale (APA),12.0,0.056,55,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2011),American Pale Ale (APA),12.0,0.056,55,155,Caldera Brewing Company,Ashland,OR
Ashland Amber Ale,American Amber / Red Ale,12.0,0.054,24,155,Caldera Brewing Company,Ashland,OR
Caldera IPA,American IPA,12.0,0.061,94,155,Caldera Brewing Company,Ashland,OR
Wild Trail Pale Ale,American Pale Ale (APA),12.0,0.057,44,156,Greenbrier Valley Brewing Company,Lewisburg,WV
Mothman Black IPA,American Black Ale,12.0,0.067,71,156,Greenbrier Valley Brewing Company,Lewisburg,WV
Camelback,American IPA,12.0,0.061,60,157,Phoenix Ale Brewery,Phoenix,AZ
Lumberyard Pilsner,American Pilsner,12.0,0.053,20,158,Lumberyard Brewing Company,Flagstaff,AZ
PUNK'N,Pumpkin Ale,12.0,0.05,10,159,Uinta Brewing Company,Salt Lake City,UT
